[2026-04-29T12:41:28.238555] seq_id=1, LNA=1, Filter=0, Center=1, Mixer=0.250dBm, IFAmp=16.796dB, EVM=97.559%, Status=0
[2026-04-29T12:41:28.414498] seq_id=2, LNA=1, Filter=0, Center=1, Mixer=0.256dBm, IFAmp=16.823dB, EVM=97.545%, Status=0
[2026-04-29T12:41:28.589883] seq_id=3, LNA=1, Filter=0, Center=1, Mixer=0.264dBm, IFAmp=16.801dB, EVM=97.542%, Status=0
[2026-04-29T12:41:28.719594] seq_id=4, LNA=1, Filter=0, Center=1, Mixer=0.261dBm, IFAmp=16.817dB, EVM=97.542%, Status=0
[2026-04-29T12:41:28.839455] seq_id=5, LNA=1, Filter=0, Center=1, Mixer=0.297dBm, IFAmp=16.741dB, EVM=97.564%, Status=0
[2026-04-29T12:41:29.015361] seq_id=6, LNA=1, Filter=0, Center=1, Mixer=0.269dBm, IFAmp=16.805dB, EVM=97.539%, Status=0
[2026-04-29T12:41:29.182434] seq_id=7, LNA=1, Filter=0, Center=1, Mixer=0.284dBm, IFAmp=16.779dB, EVM=97.551%, Status=0
[2026-04-29T12:41:29.307100] seq_id=8, LNA=1, Filter=0, Center=1, Mixer=0.252dBm, IFAmp=16.846dB, EVM=97.537%, Status=0
[2026-04-29T12:41:29.433394] seq_id=9, LNA=1, Filter=0, Center=1, Mixer=0.289dBm, IFAmp=16.727dB, EVM=97.529%, Status=0
[2026-04-29T12:41:29.558831] seq_id=10, LNA=1, Filter=0, Center=1, Mixer=0.260dBm, IFAmp=16.801dB, EVM=97.557%, Status=0
[2026-04-29T12:41:29.684526] seq_id=11, LNA=1, Filter=0, Center=1, Mixer=0.256dBm, IFAmp=16.830dB, EVM=97.554%, Status=0
[2026-04-29T12:41:29.810127] seq_id=12, LNA=1, Filter=0, Center=1, Mixer=0.294dBm, IFAmp=16.749dB, EVM=97.556%, Status=0
[2026-04-29T12:41:29.935411] seq_id=13, LNA=1, Filter=0, Center=1, Mixer=0.296dBm, IFAmp=16.732dB, EVM=97.575%, Status=0
[2026-04-29T12:41:30.068630] seq_id=14, LNA=1, Filter=0, Center=1, Mixer=0.263dBm, IFAmp=16.833dB, EVM=97.563%, Status=0
[2026-04-29T12:41:30.191654] seq_id=15, LNA=1, Filter=0, Center=1, Mixer=0.266dBm, IFAmp=16.793dB, EVM=97.537%, Status=0
[2026-04-29T12:41:30.322667] seq_id=16, LNA=1, Filter=0, Center=1, Mixer=0.273dBm, IFAmp=16.847dB, EVM=97.541%, Status=0
[2026-04-29T12:41:30.450590] seq_id=17, LNA=1, Filter=0, Center=1, Mixer=0.276dBm, IFAmp=16.800dB, EVM=97.544%, Status=0
[2026-04-29T12:41:30.625502] seq_id=18, LNA=1, Filter=0, Center=1, Mixer=0.307dBm, IFAmp=16.710dB, EVM=97.509%, Status=0
[2026-04-29T12:41:30.801038] seq_id=19, LNA=1, Filter=0, Center=1, Mixer=0.278dBm, IFAmp=16.840dB, EVM=97.521%, Status=0
[2026-04-29T12:41:30.945600] seq_id=20, LNA=1, Filter=0, Center=1, Mixer=0.283dBm, IFAmp=16.727dB, EVM=97.544%, Status=0
[2026-04-29T12:41:31.069187] seq_id=21, LNA=1, Filter=0, Center=1, Mixer=0.236dBm, IFAmp=16.816dB, EVM=97.536%, Status=0
[2026-04-29T12:41:31.188472] seq_id=22, LNA=1, Filter=0, Center=1, Mixer=0.266dBm, IFAmp=16.828dB, EVM=97.528%, Status=0
[2026-04-29T12:41:31.362413] seq_id=23, LNA=1, Filter=0, Center=1, Mixer=0.277dBm, IFAmp=16.764dB, EVM=97.550%, Status=0
[2026-04-29T12:41:31.490796] seq_id=24, LNA=1, Filter=0, Center=1, Mixer=0.264dBm, IFAmp=16.799dB, EVM=97.541%, Status=0
[2026-04-29T12:41:31.665694] seq_id=25, LNA=1, Filter=0, Center=1, Mixer=0.279dBm, IFAmp=16.774dB, EVM=97.528%, Status=0
[2026-04-29T12:41:31.791772] seq_id=26, LNA=1, Filter=0, Center=1, Mixer=0.290dBm, IFAmp=16.729dB, EVM=97.558%, Status=0
[2026-04-29T12:41:31.943720] seq_id=27, LNA=1, Filter=0, Center=1, Mixer=0.289dBm, IFAmp=16.743dB, EVM=97.559%, Status=0
[2026-04-29T12:41:32.122837] seq_id=28, LNA=1, Filter=0, Center=1, Mixer=0.286dBm, IFAmp=16.715dB, EVM=97.546%, Status=0
