[seq_id=1] agent_inference: LNA=1, Filter=0, Mixer=-1.589dBm, IFAmp=4.501dB, EVM=99.978%, Status=0
[seq_id=2] agent_inference: LNA=1, Filter=0, Mixer=-1.422dBm, IFAmp=4.606dB, EVM=99.966%, Status=0
[seq_id=3] agent_inference: LNA=1, Filter=0, Mixer=-1.444dBm, IFAmp=4.477dB, EVM=99.956%, Status=0
[seq_id=4] agent_inference: LNA=1, Filter=0, Mixer=-1.319dBm, IFAmp=4.517dB, EVM=99.932%, Status=0
[seq_id=5] agent_inference: LNA=1, Filter=0, Mixer=-1.353dBm, IFAmp=4.487dB, EVM=99.913%, Status=0
[seq_id=1] agent_inference: LNA=1, Filter=0, Mixer=-1.596dBm, IFAmp=4.514dB, EVM=99.978%, Status=0
[seq_id=2] agent_inference: LNA=1, Filter=0, Mixer=-1.410dBm, IFAmp=4.577dB, EVM=99.965%, Status=0
[seq_id=3] agent_inference: LNA=1, Filter=0, Mixer=-1.426dBm, IFAmp=4.413dB, EVM=99.957%, Status=0
[seq_id=4] agent_inference: LNA=1, Filter=0, Mixer=-1.322dBm, IFAmp=4.583dB, EVM=99.931%, Status=0
[seq_id=5] agent_inference: LNA=1, Filter=0, Mixer=-1.351dBm, IFAmp=4.488dB, EVM=99.912%, Status=0
[seq_id=6] agent_inference: LNA=1, Filter=0, Mixer=-1.477dBm, IFAmp=4.987dB, EVM=99.864%, Status=0
[seq_id=7] agent_inference: LNA=1, Filter=0, Mixer=-1.552dBm, IFAmp=5.114dB, EVM=99.825%, Status=0
[seq_id=8] agent_inference: LNA=1, Filter=0, Mixer=-1.861dBm, IFAmp=5.897dB, EVM=99.727%, Status=0
[seq_id=9] agent_inference: LNA=1, Filter=0, Mixer=-1.916dBm, IFAmp=5.967dB, EVM=99.664%, Status=0
[seq_id=10] agent_inference: LNA=1, Filter=0, Mixer=-2.254dBm, IFAmp=6.580dB, EVM=99.452%, Status=0
[seq_id=11] agent_inference: LNA=1, Filter=0, Mixer=-2.296dBm, IFAmp=6.556dB, EVM=99.313%, Status=0
[seq_id=12] agent_inference: LNA=1, Filter=0, Mixer=-2.903dBm, IFAmp=7.276dB, EVM=98.934%, Status=0
[seq_id=13] agent_inference: LNA=1, Filter=0, Mixer=-3.159dBm, IFAmp=7.086dB, EVM=98.631%, Status=0
[seq_id=14] agent_inference: LNA=1, Filter=0, Mixer=-3.734dBm, IFAmp=7.703dB, EVM=97.793%, Status=0
[seq_id=15] agent_inference: LNA=1, Filter=0, Mixer=-3.754dBm, IFAmp=7.472dB, EVM=97.235%, Status=0
[seq_id=16] agent_inference: LNA=1, Filter=0, Mixer=-3.841dBm, IFAmp=7.889dB, EVM=95.628%, Status=0
[seq_id=17] agent_inference: LNA=1, Filter=0, Mixer=-3.785dBm, IFAmp=7.590dB, EVM=94.531%, Status=0
[seq_id=18] agent_inference: LNA=1, Filter=0, Mixer=-3.185dBm, IFAmp=7.293dB, EVM=91.294%, Status=0
[seq_id=19] agent_inference: LNA=1, Filter=0, Mixer=-2.933dBm, IFAmp=6.693dB, EVM=89.143%, Status=0
[seq_id=20] agent_inference: LNA=1, Filter=0, Mixer=-0.339dBm, IFAmp=5.247dB, EVM=82.995%, Status=0
[seq_id=21] agent_inference: LNA=1, Filter=0, Mixer=0.650dBm, IFAmp=15.895dB, EVM=97.807%, Status=0
[seq_id=22] agent_inference: LNA=1, Filter=0, Mixer=-2.167dBm, IFAmp=10.357dB, EVM=99.725%, Status=0
[seq_id=23] agent_inference: LNA=1, Filter=0, Mixer=-2.181dBm, IFAmp=11.070dB, EVM=99.564%, Status=0
[seq_id=24] agent_inference: LNA=1, Filter=0, Mixer=-2.109dBm, IFAmp=10.943dB, EVM=99.453%, Status=0
[seq_id=25] agent_inference: LNA=1, Filter=0, Mixer=-1.371dBm, IFAmp=10.720dB, EVM=99.126%, Status=0
[seq_id=26] agent_inference: LNA=1, Filter=0, Mixer=-1.297dBm, IFAmp=10.598dB, EVM=98.906%, Status=0
[seq_id=27] agent_inference: LNA=1, Filter=0, Mixer=0.586dBm, IFAmp=9.597dB, EVM=98.248%, Status=0
[seq_id=28] agent_inference: LNA=1, Filter=0, Mixer=0.968dBm, IFAmp=9.293dB, EVM=97.822%, Status=0
[seq_id=29] agent_inference: LNA=1, Filter=0, Mixer=4.054dBm, IFAmp=7.862dB, EVM=96.531%, Status=0
[seq_id=30] agent_inference: LNA=1, Filter=0, Mixer=4.439dBm, IFAmp=7.372dB, EVM=95.628%, Status=0
[seq_id=31] agent_inference: LNA=1, Filter=0, Mixer=-0.732dBm, IFAmp=3.890dB, EVM=99.783%, Status=0
[seq_id=32] agent_inference: LNA=1, Filter=0, Mixer=-0.714dBm, IFAmp=3.909dB, EVM=99.726%, Status=0
[seq_id=33] agent_inference: LNA=1, Filter=0, Mixer=-0.731dBm, IFAmp=4.344dB, EVM=99.562%, Status=0
[seq_id=34] agent_inference: LNA=1, Filter=0, Mixer=-0.602dBm, IFAmp=4.283dB, EVM=99.447%, Status=0
[seq_id=35] agent_inference: LNA=1, Filter=0, Mixer=-0.527dBm, IFAmp=4.373dB, EVM=99.129%, Status=0
[seq_id=36] agent_inference: LNA=1, Filter=0, Mixer=-0.394dBm, IFAmp=4.272dB, EVM=98.897%, Status=0
[seq_id=37] agent_inference: LNA=1, Filter=0, Mixer=-0.885dBm, IFAmp=4.395dB, EVM=98.258%, Status=0
[seq_id=38] agent_inference: LNA=1, Filter=0, Mixer=-0.861dBm, IFAmp=4.157dB, EVM=97.810%, Status=0
[seq_id=39] agent_inference: LNA=1, Filter=0, Mixer=-1.907dBm, IFAmp=4.364dB, EVM=96.521%, Status=0
[seq_id=40] agent_inference: LNA=1, Filter=0, Mixer=-1.822dBm, IFAmp=4.096dB, EVM=95.623%, Status=0
[seq_id=41] agent_inference: LNA=1, Filter=0, Mixer=2.798dBm, IFAmp=10.508dB, EVM=99.313%, Status=0
[seq_id=42] agent_inference: LNA=1, Filter=0, Mixer=3.483dBm, IFAmp=10.078dB, EVM=99.137%, Status=0
[seq_id=43] agent_inference: LNA=1, Filter=0, Mixer=-1.415dBm, IFAmp=6.334dB, EVM=99.892%, Status=0
[seq_id=44] agent_inference: LNA=1, Filter=0, Mixer=-1.749dBm, IFAmp=7.234dB, EVM=99.828%, Status=0
[seq_id=45] agent_inference: LNA=1, Filter=0, Mixer=-1.807dBm, IFAmp=7.226dB, EVM=99.786%, Status=0
[seq_id=46] agent_inference: LNA=1, Filter=0, Mixer=-2.060dBm, IFAmp=8.048dB, EVM=99.659%, Status=0
[seq_id=47] agent_inference: LNA=1, Filter=0, Mixer=-2.080dBm, IFAmp=8.010dB, EVM=99.570%, Status=0
[seq_id=48] agent_inference: LNA=1, Filter=0, Mixer=-2.402dBm, IFAmp=8.834dB, EVM=99.316%, Status=0
[seq_id=49] agent_inference: LNA=1, Filter=0, Mixer=-2.670dBm, IFAmp=8.723dB, EVM=99.140%, Status=0
[seq_id=50] agent_inference: LNA=1, Filter=0, Mixer=-2.911dBm, IFAmp=9.337dB, EVM=98.634%, Status=0
[seq_id=51] agent_inference: LNA=1, Filter=0, Mixer=-3.095dBm, IFAmp=9.251dB, EVM=98.280%, Status=0
[seq_id=52] agent_inference: LNA=1, Filter=0, Mixer=-2.777dBm, IFAmp=9.514dB, EVM=97.282%, Status=0
[seq_id=53] agent_inference: LNA=1, Filter=0, Mixer=-2.834dBm, IFAmp=9.312dB, EVM=96.578%, Status=0
[seq_id=54] agent_inference: LNA=1, Filter=0, Mixer=-1.367dBm, IFAmp=8.684dB, EVM=94.568%, Status=0
